window_id,timestamp,symbol,visual_regime,regime_type,volatility,trend_strength,high,low,close,volume,is_correct
2210,1778077800,NQM6.CME@RITHMIC,BALANCE,RANGE,0.001009,0.0010,28437.50,28418.25,28434.50,1907,True
2211,1778077860,NQM6.CME@RITHMIC,TREND_UP,RANGE,0.000919,0.0007,28438.00,28423.00,28436.00,1173,True
2212,1778077920,NQM6.CME@RITHMIC,TREND_UP,RANGE,0.000909,0.0001,28462.75,28434.50,28459.25,1362,True
2213,1778077980,NQM6.CME@RITHMIC,TREND_UP,UPTREND,0.000868,0.0001,28473.25,28457.25,28467.75,1394,False
2214,1778078040,NQM6.CME@RITHMIC,TREND_UP,UPTREND,0.000877,0.0046,28488.00,28466.00,28485.50,1390,False
2215,1778078100,NQM6.CME@RITHMIC,TREND_UP,UPTREND,0.000842,0.0082,28494.50,28481.00,28491.50,1617,False
2216,1778078160,NQM6.CME@RITHMIC,TREND_UP,UPTREND,0.000812,0.0115,28494.75,28483.50,28488.75,968,False
2217,1778078220,NQM6.CME@RITHMIC,TREND_DOWN,UPTREND,0.000777,0.0123,28490.50,28477.50,28482.75,946,False
2218,1778078280,NQM6.CME@RITHMIC,BALANCE,UPTREND,0.000761,0.0128,28496.00,28475.25,28492.25,1189,False
2219,1778078340,NQM6.CME@RITHMIC,TREND_UP,UPTREND,0.000737,0.0123,28503.50,28488.50,28500.50,1514,False
2220,1778078400,NQM6.CME@RITHMIC,TREND_UP,UPTREND,0.000716,0.0126,28521.25,28499.25,28519.50,2073,False
2221,1778078460,NQM6.CME@RITHMIC,BALANCE,UPTREND,0.000713,0.0128,28521.25,28503.25,28511.75,1667,False
2222,1778078520,NQM6.CME@RITHMIC,BALANCE,UPTREND,0.000725,0.0135,28523.50,28503.25,28517.50,2212,False
2223,1778078580,NQM6.CME@RITHMIC,BALANCE,UPTREND,0.000646,0.0136,28526.50,28503.00,28514.50,1854,False
2224,1778078640,NQM6.CME@RITHMIC,BALANCE,UPTREND,0.000644,0.0136,28524.00,28505.25,28521.25,1103,False
2225,1778078700,NQM6.CME@RITHMIC,TREND_UP,UPTREND,0.000656,0.0130,28540.25,28520.50,28529.50,2299,False
2226,1778078760,NQM6.CME@RITHMIC,TREND_DOWN,UPTREND,0.000613,0.0124,28529.00,28518.50,28523.25,1317,False
2227,1778078820,NQM6.CME@RITHMIC,TREND_UP,UPTREND,0.000611,0.0120,28534.75,28519.50,28531.25,983,False
2228,1778078880,NQM6.CME@RITHMIC,BALANCE,UPTREND,0.000584,0.0117,28532.75,28521.50,28525.00,1134,False
2229,1778078940,NQM6.CME@RITHMIC,TREND_UP,UPTREND,0.000588,0.0107,28538.50,28523.25,28536.25,1075,False
2230,1778079000,NQM6.CME@RITHMIC,BALANCE,UPTREND,0.000591,0.0091,28538.50,28526.25,28530.25,1030,False
2231,1778079060,NQM6.CME@RITHMIC,TREND_UP,UPTREND,0.000589,0.0082,28540.00,28527.50,28535.50,938,False
2232,1778079120,NQM6.CME@RITHMIC,BALANCE,UPTREND,0.000577,0.0072,28541.00,28525.25,28535.00,1277,False
