alert_id,symbol,direction,entry,exit,outcome,mfe,mae,r,regime,risk_score,phase2_action
REPLAY_000323,NQM6.CME@RITHMIC,LONG,28346.5,28352.5,TARGET1,6.0,-0.5,1.5,BALANCE,0.3372235556290013,HOLD
REPLAY_000324,ESM6.CME@RITHMIC,LONG,7310.75,7306.75,STOP,0.5,-4.0,-1.0,BALANCE,0.8254775880170994,HOLD
REPLAY_000325,NQM6.CME@RITHMIC,SHORT,28343.5,28337.5,TARGET1,0.0,6.0,1.5,BALANCE,0.5288360398174715,HOLD
REPLAY_000326,ESM6.CME@RITHMIC,LONG,7309.5,7309.5,NO_EXIT,0.25,-2.75,0.0,BALANCE,0.6164307256810218,HOLD
REPLAY_000327,ESM6.CME@RITHMIC,SHORT,7309.5,7309.5,NO_EXIT,-0.25,2.75,0.0,BALANCE,0.7767959610313847,HOLD
REPLAY_000328,NQM6.CME@RITHMIC,LONG,28325.25,28321.25,STOP,1.0,-4.75,-1.0,BALANCE,0.5109805218712498,HOLD
REPLAY_000329,ESM6.CME@RITHMIC,LONG,7307.5,7307.5,NO_EXIT,2.25,-0.75,0.0,BALANCE,0.4485343315090406,HOLD
REPLAY_000330,NQM6.CME@RITHMIC,SHORT,28321.5,28325.5,STOP,-4.5,3.75,-1.0,BALANCE,0.6609394561563835,HOLD
REPLAY_000331,ESM6.CME@RITHMIC,LONG,7308.0,7308.0,NO_EXIT,1.75,-1.5,0.0,BALANCE,0.3782609476601267,HOLD
REPLAY_000332,ESM6.CME@RITHMIC,SHORT,7307.75,7307.75,NO_EXIT,-2.0,1.25,0.0,BALANCE,0.784211056610981,HOLD
REPLAY_000333,ESM6.CME@RITHMIC,LONG,7308.25,7308.25,NO_EXIT,1.5,-1.75,0.0,BALANCE,0.506121443241884,HOLD
REPLAY_000334,NQM6.CME@RITHMIC,LONG,28317.25,28313.25,STOP,1.0,-4.0,-1.0,BALANCE,0.4879610644544129,HOLD
REPLAY_000335,ESM6.CME@RITHMIC,LONG,7308.0,7308.0,NO_EXIT,1.75,-1.5,0.0,BALANCE,0.4323653075913943,HOLD
